Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades
2018,5,157,Minnesota Vikings,Tyler Conklin ,TE,Central Michigan,MAC,from Dallas via NY Jets [R5 - 14]
2018,5,158,Cincinnati Bengals,Andrew Brown ,DE,Virginia,ACC,from Buffalo [R5 - 15]
2018,5,159,Indianapolis Colts,Daurice Fountain ,WR,Northern Iowa,MVFC,"from Kansas City via Cleveland, New England, and Oakland [R5 - 16]"
2018,5,160,Los Angeles Rams,Ogbonnia Okoronkwo ,LB,Oklahoma,Big 12,from LA Rams via Denver [R5 - 17]
2018,5,161,Carolina Panthers,Jermaine Carter ,LB,Maryland,Big Ten,
2018,5,162,Baltimore Ravens,Jordan Lasley ,WR,UCLA,Pac-12,from Tennessee [R5 - 18]
2018,5,163,Washington Redskins,Tim Settle ,DT,Virginia Tech,ACC,from Atlanta via Denver [R5 - 19]
2018,5,164,New Orleans Saints,Natrell Jamerson ,S,Wisconsin,Big Ten,
2018,5,165,Pittsburgh Steelers,Jaylen Samuels ,FB,NC State,ACC,
2018,5,166,Buffalo Bills,Wyatt Teller ,G,Virginia Tech,ACC,from Jacksonville [R5 - 20]
2018,5,167,Minnesota Vikings,Daniel Carlson ,K,Auburn,SEC,from Minnesota via NY Jets [R5 - 21]
2018,5,168,Seattle Seahawks,Jamarco Jones ,OT,Ohio State,Big Ten,from New England [R5 - 22]
2018,5,169,Indianapolis Colts,Jordan Wilkins ,RB,Ole Miss,SEC,from Philadelphia [R5 - 23]
2018,5*,170,Cincinnati Bengals,Darius Phillips ,CB,Western Michigan,MAC,
2018,5*,171,Dallas Cowboys,Mike White ,QB,Western Kentucky,C-USA,
2018,5*,172,Green Bay Packers,JK Scott ,P,Alabama,SEC,
2018,5*,173,Oakland Raiders,Johnny Townsend ,P,Florida,SEC,from Dallas [R5 - 24]
2018,5*,174,Green Bay Packers,Marquez Valdes-Scantling ,WR,South Florida,The American,
2018,6,175,Cleveland Browns,Damion Ratley ,WR,Texas A&M,SEC,
2018,6,176,Los Angeles Rams,John Kelly ,RB,Tennessee,SEC,from NY Giants [R6 - 1]
2018,6,177,Houston Texans,Duke Ejiofor ,DE,Wake Forest,ACC,
2018,6,178,New England Patriots,Christian Sam ,LB,Arizona State,Pac-12,from Indianapolis via Cleveland [R6 - 2]
2018,6,179,New York Jets,Parry Nickerson ,CB,Tulane,The American,
2018,6,180,New York Jets,Folorunso Fatukasi ,DT,Connecticut,The American,from Tampa Bay via Minnesota [R6 - 3]
2018,6,181,Chicago Bears,Kylie Fitts ,DE,Utah,Pac-12,
2018,6,182,Arizona Cardinals,Chris Campbell ,CB,Penn State,Big Ten,from Denver [R6 - 4]
2018,6,183,Denver Broncos,Sam Jones ,G,Arizona State,Pac-12,from Miami via LA Rams [R6 - 5]
2018,6,184,San Francisco 49ers,Marcell Harris ,S,Florida,SEC,
2018,6,185,Indianapolis Colts,Deon Cain ,WR,Clemson,ACC,from Oakland [R6 - 6]
2018,6,186,Seattle Seahawks,Jacob Martin ,LB,Temple,The American,from Green Bay [R6 - 7]
2018,6,187,Buffalo Bills,Ray-Ray McCloud ,WR,Clemson,ACC,from Cincinnati [R6 - 8]
2018,6,188,Cleveland Browns,Simeon Thomas ,CB,Louisiana,Sun Belt,from Washington [R6 - 9]
2018,6,189,New Orleans Saints,Kamrin Moore ,CB,Boston College,ACC,from Arizona [R6 - 10]
2018,6,190,Baltimore Ravens,DeShon Elliott ,S,Texas,Big 12,
2018,6,191,Los Angeles Chargers,Dylan Cantrell ,WR,Texas Tech,Big 12,
2018,6,192,Los Angeles Rams,Jamil Demby ,OT,Maine,CAA,from Seattle via Oakland and Dallas [R6 - 11]
2018,6,193,Dallas Cowboys,Chris Covington ,LB,Indiana,Big Ten,
2018,6,194,Atlanta Falcons,Russell Gage ,WR,LSU,SEC,from Detroit via LA Rams [R6 - 12]
2018,6,195,Los Angeles Rams,Sebastian Joseph-Day ,DT,Rutgers,Big Ten,from Buffalo [R6 - 13]
2018,6,196,Kansas City Chiefs,Tremon Smith ,CB,Central Arkansas,Southland,
2018,6,197,Washington Redskins,Shaun Dion Hamilton ,LB,Alabama,SEC,from Carolina via LA Rams [R6 - 14]
2018,6,198,Kansas City Chiefs,Kahlil McKenzie ,DT,Tennessee,SEC,from LA Rams via New England [R6 - 15]
2018,6,199,Tennessee Titans,Luke Falk ,QB,Washington State,Pac-12,
