Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes
2013,7,232,Green Bay Packers,Sam Barrington,LB,South Florida,Big East,
2013,7,233,Oakland Raiders,David Bass,DE,Missouri Western,MIAA,fromHouston[R7 - 15]
2013,7,234,Denver Broncos,Zac Dysert,QB,Miami (OH),MAC,
2013,7,235,New England Patriots,Steve Beauharnais,LB,Rutgers,Big East,
2013,7,236,Chicago Bears,Marquess Wilson,WR,Washington State,Pac-12,fromAtlanta[R7 - 16]
2013,7,237,San Francisco 49ers,B. J. Daniels,QB,South Florida,Big East,
2013,7,238,Baltimore Ravens,Aaron Mellette,WR,Elon,SoCon,
2013,7,239,Philadelphia Eagles,David King,DE,Oklahoma,Big 12,
2013,7,240,Cincinnati Bengals,Reid Fragel,OT,Ohio State,Big Ten,
2013,7,241,Seattle Seahawks,Jared Smith,DT,New Hampshire,CAA,
2013,7,242,Seattle Seahawks,Michael Bowie,OT,Northeastern State,MIAA,
2013,7,243,Atlanta Falcons,Kemal Ishmael,S,UCF,C-USA,
2013,7,244,Atlanta Falcons,Zeke Motta,S,Notre Dame,Ind. (FBS),
2013,7,245,Detroit Lions,Brandon Hepburn,LB,Florida A&M,MEAC,
2013,7,246,San Francisco 49ers,Carter Bykowski,OT,Iowa State,Big 12,
2013,7,247,Baltimore Ravens,MarcAnthony,CB,California,Pac-12,
2013,7,248,Tennessee Titans,Daimion Stafford,S,Nebraska,Big Ten,
2013,7,249,Atlanta Falcons,Sean Renfree,QB,Duke,ACC,
2013,7,250,Miami Dolphins,Don Jones,S,Arkansas State,Sun Belt,
2013,7,251,Cincinnati Bengals,T. J. Johnson,C,South Carolina,SEC,
2013,7,252,San Francisco 49ers,Marcus Cooper,CB,Rutgers,Big East,
2013,7,253,New York Giants,Michael Cox,RB,Massachusetts,MAC,
2013,7,254,Indianapolis Colts,Justice Cunningham,TE,South Carolina,SEC,
